lat;lon
52.41445945227469;4.938333406664116
52.41403700754997;4.941948794077094
52.42240844976698;4.947770464378753
52.42741279787722;4.941514257263471
52.42903365700418;4.925889720648556
52.42746374373526;4.912323763994627
52.419677132636885;4.912208306767607
52.41975097497298;4.9070503150843106
52.41957012706482;4.893321278916304
52.41485535122067;4.886857543209494
52.41579220528717;4.87726449862731
52.41544767757455;4.877104166215738
52.41544767757455;4.877104166215738
52.41579220528717;4.87726449862731
52.41502763366224;4.888231735855018
52.41937790283162;4.893741851235752
52.41959748884788;4.908041525850637
52.41975904609331;4.912169952695947
52.42761207762066;4.9124349441881705
52.429051388421854;4.925630853276306
52.42767660592626;4.940023846571
52.423542188274794;4.948580051398202
52.41503323612536;4.942764099677196
52.41403700754997;4.941948794077094
52.41445945227469;4.938333406664116
